,layer,head,model_name,features,r2,mse,explained_variance_score,max_error,mean_absolute_percentage_error
75,3,11,Ridge,"emb_to, emb_from, pos",0.1702800852934886,0.00343104884857,0.1703265227006989,0.8907046297595486,421.42705958467815
76,3,11,Ridge,"emb_to, pos, st_to, st_from",0.176417138365738,0.0034056709728508,0.1764635752446947,0.8976179474128916,416.0182935352324
77,3,11,Ridge,"pos, st_to, st_from",0.1562981138917387,0.0034888669460127,0.156344552502462,0.9134621825138842,500.6318799328271
78,3,11,Ridge,"pos, poly",0.0074499398636111,0.0041043823109677,0.0074963912866006,0.9083416601272633,728.7468463254733
79,3,11,Ridge,"emb_to, pos, st_to, st_from, poly",0.2298078651826159,0.0031848902147631,0.2298613486397199,0.8829265254658708,484.9828211205528
80,7,11,Ridge,pos,0.0258385838663542,0.0051816074911532,0.0258993257847031,0.9031549497750122,441.9329829663295
81,7,11,Ridge,"emb_from, pos",0.0206440652489731,0.0052092373645345,0.0207048075603986,0.9072811925258728,471.7240270734096
82,7,11,Ridge,"emb_to, pos",0.803328276485856,0.0010461055621598,0.8033889595704886,0.8869615087597065,155.7263611062281
83,7,11,Ridge,"emb_to, emb_from, pos",0.8025512576851871,0.0010502385593937,0.8026119408286176,0.8899080865290439,157.4169790185852
84,7,11,Ridge,"emb_to, pos, st_to, st_from",0.8048782303610292,0.0010378612892112,0.8049389133283746,0.8878604564290153,128.92001106419156
85,7,11,Ridge,"pos, st_to, st_from",0.5451499411780023,0.002419367502254,0.5452106437993454,0.9152592555395864,250.81779621495576
86,7,11,Ridge,"pos, poly",0.0258385838663542,0.0051816074911532,0.0258993257847031,0.9031549497750122,441.9329829663295
87,7,11,Ridge,"emb_to, pos, st_to, st_from, poly",0.8050780309904348,0.0010367985408608,0.8051311429760835,0.882889339072473,180.53447020293697
88,11,11,Ridge,pos,0.0362809906817811,0.0034022725430575,0.0362814687560287,0.4997978125609021,110.01509479984702
89,11,11,Ridge,"emb_from, pos",0.0318187668551173,0.0034180257879968,0.0318192447506304,0.5047429887880276,108.47101575572204
90,11,11,Ridge,"emb_to, pos",0.8550749856901335,0.0005116370977651,0.855075496561192,0.3759890024708596,52.81313926364541
91,11,11,Ridge,"emb_to, emb_from, pos",0.8551554987244093,0.0005113528579782,0.8551560095986928,0.3778557519725905,56.89304132157443
92,11,11,Ridge,"emb_to, pos, st_to, st_from",0.8702914054207973,0.0004579176976571,0.8702919169013498,0.374172519663028,50.45277889505106
93,11,11,Ridge,"pos, st_to, st_from",0.0540571512968681,0.0033395163427575,0.0540576300831401,0.5021170957435729,101.5148964276706
94,11,11,Ridge,"pos, poly",0.0362809906817811,0.0034022725430575,0.0362814687560287,0.4997978125609021,110.01509479984702
95,11,11,Ridge,"emb_to, pos, st_to, st_from, poly",0.8547952742560929,0.0005126245790982,0.8547960817719353,0.3772916743861588,55.41745602050411
96,0,3,Ridge,pos,0.0054433480270591,0.0051900802181413,0.0054433570235251,0.9049504502429824,206.4839238205884
97,0,3,Ridge,"emb_from, pos",0.0007232495548067,0.005214711987141,0.0007232585934212,0.9056120030341872,208.8072891418772
98,0,3,Ridge,"emb_to, pos",0.0085116498822586,0.0051740683270837,0.0085116588513254,0.8903374566296669,185.66656622664595
99,0,3,Ridge,"emb_to, emb_from, pos",0.0035923774182472,0.0051997394828218,0.0035923864312416,0.8879087632231051,190.5334729002406
100,0,3,Ridge,"emb_to, pos, st_to, st_from",0.0085184492170513,0.0051740328448485,0.0085184581860576,0.8906072785305237,186.1057474194228
101,0,3,Ridge,"pos, st_to, st_from",0.006289998854713,0.0051856619824344,0.0062900078436185,0.905388889380794,207.6094721489552
102,0,3,Ridge,"pos, poly",0.0054433480270591,0.0051900802181413,0.0054433570235251,0.9049504502429824,206.4839238205884
103,0,3,Ridge,"emb_to, pos, st_to, st_from, poly",0.0942054006406234,0.0047268766666116,0.094205499852445,0.8746529961375087,154.4747880873275
104,3,3,Ridge,pos,0.0091052732696742,0.0027484952849697,0.0091071506559337,0.6841010454848386,328.56126728079187
105,3,3,Ridge,"emb_from, pos",0.0047844921217736,0.0027604800561992,0.0047863694968643,0.6812428597224535,325.63094597724506
106,3,3,Ridge,"emb_to, pos",0.215294160425717,0.0021765786435001,0.2152960383449417,0.6667251163400565,176.92017369915553
107,3,3,Ridge,"emb_to, emb_from, pos",0.2128287329297412,0.0021834171255964,0.212830610842593,0.663659563607703,182.5867123423956
108,3,3,Ridge,"emb_to, pos, st_to, st_from",0.2167008567884301,0.0021726768179923,0.2167027347112909,0.6714492566143445,184.5209058655972
109,3,3,Ridge,"pos, st_to, st_from",0.2065910929132014,0.0022007187861183,0.20659297080993,0.6885807354534592,222.41128697732387
110,3,3,Ridge,"pos, poly",0.0091052732696742,0.0027484952849697,0.0091071506559337,0.6841010454848386,328.56126728079187
111,3,3,Ridge,"emb_to, pos, st_to, st_from, poly",0.2781642379152832,0.002002192700287,0.2781665085784199,0.6575381348213485,192.29598799796696
112,7,3,Ridge,pos,0.0306653034890731,0.0064460282023096,0.0306779102189764,0.5279593365496009,1574.3460301468442
113,7,3,Ridge,"emb_from, pos",0.0257927888587491,0.0064784301856867,0.0258053956018182,0.5186106112307767,1660.6326684806745
114,7,3,Ridge,"emb_to, pos",0.9448213846574935,0.0003669350864489,0.944833988917305,0.5599642518760557,528.2513062228805
115,7,3,Ridge,"emb_to, emb_from, pos",0.9444394114419704,0.0003694751896028,0.944452015702814,0.5612604084007216,536.2369387671908
116,7,3,Ridge,"emb_to, pos, st_to, st_from",0.9463267839118014,0.0003569242552221,0.9463393881675451,0.5643341121385433,432.1946438036656
117,7,3,Ridge,"pos, st_to, st_from",0.6571951349180303,0.0022796355440088,0.6572077399550212,0.5514500762208773,1017.6727881892684
118,7,3,Ridge,"pos, poly",0.0306653034890731,0.0064460282023096,0.0306779102189764,0.5279593365496009,1574.3460301468442
119,7,3,Ridge,"emb_to, pos, st_to, st_from, poly",0.945321383212805,0.0003636101205725,0.9453351676401568,0.5589144619067179,557.3045473818488
120,11,3,Ridge,pos,0.036130744974727,0.002992957529726,0.0361314397473023,0.4597149269020784,90.15276674224674
121,11,3,Ridge,"emb_from, pos",0.030351934049823,0.0030109015979494,0.0303526288859894,0.4595383015283,90.17262234514706
122,11,3,Ridge,"emb_to, pos",0.8668555313684796,0.0004134333965467,0.8668562169996401,0.2934017999669701,30.20182355869874
123,11,3,Ridge,"emb_to, emb_from, pos",0.8661997377523611,0.0004154697333539,0.8662004233907381,0.2935550884782276,33.86419023436693
124,11,3,Ridge,"emb_to, pos, st_to, st_from",0.8723600132177438,0.0003963411609431,0.8723606987883322,0.2938191904794449,30.19414761746224
125,11,3,Ridge,"pos, st_to, st_from",0.0748403974825404,0.0028727582959168,0.0748410918291492,0.4626984624237686,81.48555442339918
126,11,3,Ridge,"pos, poly",0.036130744974727,0.002992957529726,0.0361314397473023,0.4597149269020784,90.15276674224674
127,11,3,Ridge,"emb_to, pos, st_to, st_from, poly",0.8640794275895041,0.0004220536120638,0.8640795166199777,0.2903197810770304,35.05655963929088
